                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.48765,                 1.7873,                 1.0099,                0.72883,                0.80872,                 0.9064,                0.81855,                0.49278,                 1.2882,                 1.0519,             0.00046901,             0.00046901,             0.00046901
                      2,                0.31529,                0.87603,                0.91585,                0.71019,                0.94437,                0.94148,                0.86814,                0.36974,                  1.677,                 1.0122,             0.00085175,             0.00085175,             0.00085175
                      3,                 0.3014,                0.65898,                0.92495,                0.81522,                0.86859,                0.94972,                0.85133,                0.52481,                 1.6216,                 1.0588,              0.0011402,              0.0011402,              0.0011402
                      4,                0.29162,                0.63938,                0.92597,                0.79395,                 0.8512,                 0.9042,                0.83259,                0.35077,                 1.3384,                 1.0127,              0.0010046,              0.0010046,              0.0010046
                      5,                0.26288,                0.51861,                 0.9098,                0.78467,                0.94124,                0.95183,                0.93885,                0.27283,                 1.2769,                0.99217,             0.00086312,             0.00086312,             0.00086312
                      6,                0.23354,                0.46087,                0.90334,                0.89136,                0.95467,                0.98989,                0.97762,                0.24473,                 1.0698,                0.98857,             0.00072164,             0.00072164,             0.00072164
                      7,                0.22482,                0.40709,                0.90598,                0.96238,                0.95888,                0.98935,                 0.9811,                0.20999,                0.84875,                0.98571,             0.00058017,             0.00058017,             0.00058017
                      8,                0.21035,                0.38202,                0.90184,                0.94387,                 0.9645,                0.99144,                0.98893,                0.17758,                0.90728,                0.98345,              0.0004387,              0.0004387,              0.0004387
                      9,                0.19157,                0.32917,                0.89217,                0.96962,                0.96302,                0.99234,                0.98782,                 0.2064,                 1.0517,                0.98656,             0.00029723,             0.00029723,             0.00029723
                     10,                0.16767,                0.29888,                0.89117,                 0.9663,                0.98047,                0.99088,                0.98955,                0.16986,                 0.9828,                0.98301,             0.00015576,             0.00015576,             0.00015576
