                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68784,                 3.3258,                 1.0949,                0.47648,                0.44966,                0.36608,                0.34956,                0.30793,                 2.2103,                 1.0103,             0.00017444,             0.00017444,             0.00017444
                      2,                0.36568,                 2.0762,                0.94668,                0.54603,                0.71143,                0.67494,                0.67349,                0.14719,                 1.4601,                0.99218,             0.00032669,             0.00032669,             0.00032669
                      3,                0.31795,                 1.4891,                   0.93,                0.63065,                0.75533,                0.74115,                0.72488,                0.26167,                  1.275,                0.99864,              0.0004558,              0.0004558,              0.0004558
                      4,                0.30272,                 1.2958,                0.92781,                0.65802,                0.72768,                0.76308,                0.73592,                0.28946,                 1.5137,                 1.0184,             0.00042185,             0.00042185,             0.00042185
                      5,                0.27967,                 1.1606,                0.91981,                0.78485,                0.85924,                0.90935,                0.89929,                0.21116,                0.85572,                0.98429,             0.00038714,             0.00038714,             0.00038714
                      6,                0.21991,                 0.9475,                0.91497,                0.72043,                0.77754,                0.84865,                0.84382,                0.17268,                 1.0318,                 0.9816,             0.00035242,             0.00035242,             0.00035242
                      7,                0.19886,                0.73468,                0.90392,                0.84986,                 0.9193,                0.95538,                 0.9528,                0.19182,                0.79362,                0.97653,              0.0003177,              0.0003177,              0.0003177
                      8,                0.17519,                  0.683,                0.89736,                 0.8561,                0.87971,                0.93492,                0.93081,                0.18399,                0.96035,                0.98015,             0.00028299,             0.00028299,             0.00028299
                      9,                0.16767,                0.60779,                 0.8936,                0.88388,                0.87484,                0.92846,                0.92639,                0.19557,                 1.0304,                  0.977,             0.00024827,             0.00024827,             0.00024827
                     10,                0.16159,                0.54124,                0.89472,                0.90157,                0.91025,                0.96562,                0.96399,                0.17916,                0.87986,                 0.9764,             0.00021356,             0.00021356,             0.00021356
                     11,                0.15491,                 0.4752,                0.90002,                0.94425,                0.93629,                0.98001,                0.97894,                0.18802,                0.88242,                0.97664,             0.00017884,             0.00017884,             0.00017884
                     12,                0.15033,                0.42059,                0.88618,                0.94676,                0.96354,                0.98408,                0.98322,                0.22735,                0.89571,                0.97746,             0.00014412,             0.00014412,             0.00014412
                     13,                0.14224,                0.39668,                0.88945,                0.94575,                0.94025,                0.98115,                0.98073,                0.20312,                0.89127,                0.97522,             0.00010941,             0.00010941,             0.00010941
                     14,                0.13609,                 0.3571,                0.88663,                0.96879,                0.96948,                0.98915,                0.98852,                0.19427,                0.91533,                0.97442,             7.4692e-05,             7.4692e-05,             7.4692e-05
                     15,                0.13107,                0.33433,                0.88047,                0.96809,                0.95787,                0.98782,                0.98782,                0.18795,                0.92363,                0.97213,             3.9976e-05,             3.9976e-05,             3.9976e-05
